detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection received: host=2a05:d018:1e14:201:36a8:3cd5:1551:22a9 port=42398,null,e8e19299-8a82-433d-ab3d-9f9a145fe402,dtnotuyagygexmkyqtgb,1762997073035000
null,LOG,connection received: host=2a05:d018:1e14:201:21e7:87e:d264:9c4f port=56178,null,f918c804-2464-4bff-acb2-5842e051451a,dtnotuyagygexmkyqtgb,1762997072999000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,e2944734-86b6-49ee-99c4-e997e796eb45,dtnotuyagygexmkyqtgb,1762997064989000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,2bdaaabe-d155-4ead-9b21-cef76c9516b2,dtnotuyagygexmkyqtgb,1762997064989000
null,LOG,connection received: host=::1 port=36675,null,3f68a93b-9304-4ad4-8d3d-dbb0d232f7c7,dtnotuyagygexmkyqtgb,1762997064982000
null,LOG,unexpected EOF on standby connection,null,0b1fd25b-dc1a-4e59-bebe-d50211e277f9,dtnotuyagygexmkyqtgb,1762997046997000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,027f7cd6-eb8e-4d76-9dbd-4683f12f707b,dtnotuyagygexmkyqtgb,1762997040825000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=psql SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a4f2b27c-81c0-426d-af8c-6cfb0f060d55,dtnotuyagygexmkyqtgb,1762997040825000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=psql SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,ce4b9c84-0d37-4e01-b630-2e363a6d84d8,dtnotuyagygexmkyqtgb,1762997040741000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,639b8503-3d36-4a53-bf28-b389e7ec050d,dtnotuyagygexmkyqtgb,1762997040741000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,dec49659-2ec4-4a90-b33d-4694e3535c61,dtnotuyagygexmkyqtgb,1762997040233000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=psql SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d4e257b3-bedb-4094-b19c-c5641cb918e6,dtnotuyagygexmkyqtgb,1762997040233000
